,Cena,Kvadratura,Sprat,Uknjizeno,Parking,Lift,Distance
1737,282060,0.3223140495867769,0.21621621621621623,0,0,1,0.005925203379395366
1738,219690,0.30165289256198347,0.10810810810810811,0,0,1,0.007929929720541828
1739,116000,0.17355371900826447,0.1891891891891892,1,0,1,0.008279603424420258
1740,225000,0.30578512396694213,0.10810810810810811,0,0,1,0.001946356322707817
1741,72500,0.17355371900826447,0.08108108108108109,1,1,0,0.01707163709746253
1742,156000,0.25206611570247933,0.08108108108108109,1,0,0,0.0123336699553702
1743,159000,0.32644628099173556,0.02702702702702703,1,0,0,0.016080162556114323
1744,225000,0.43388429752066116,0.05405405405405406,1,0,0,0.014263756149671618
1745,115000,0.17355371900826447,0.16216216216216217,1,0,0,0.01573602260463891
1746,62000,0.2024793388429752,0.0,0,0,0,0.015314564678384428
1747,324888,0.34297520661157027,0.10810810810810811,0,0,1,0.004279155544604983
1748,239000,0.3925619834710744,0.08108108108108109,0,0,0,0.008279603424420258
1749,270000,0.2892561983471075,0.21621621621621623,0,1,1,0.01209937426804879
1750,473888,0.45041322314049587,0.43243243243243246,0,0,0,0.004279155544604983
1751,420888,0.2892561983471075,0.43243243243243246,0,0,0,0.004279155544604983
1752,50000,0.19008264462809918,0.02702702702702703,1,0,0,0.011302376132269313
1754,150000,0.2190082644628099,0.10810810810810811,1,1,1,0.01841532209467618
1755,133990,0.19421487603305787,0.08108108108108109,1,1,0,0.019306984702372236
1756,135000,0.15289256198347106,0.05405405405405406,1,0,1,0.001946356322707817
1757,118800,0.2231404958677686,0.05405405405405406,0,0,0,0.017225751665349235
1758,82000,0.15702479338842976,0.35135135135135137,1,0,1,0.018169813046222283
1760,229888,0.23553719008264462,0.02702702702702703,0,0,1,0.004279155544604983
1761,175500,0.25619834710743805,0.10810810810810811,1,1,0,0.009735694710630984
1762,347888,0.384297520661157,0.05405405405405406,0,0,1,0.004279155544604983
1763,280000,0.49586776859504134,0.13513513513513514,0,0,1,0.010138436091169403
1764,370000,0.4834710743801653,0.05405405405405406,1,0,1,0.005996416938834938
1765,239000,0.30165289256198347,0.05405405405405406,0,0,1,0.00375025143497268
1766,260000,0.19834710743801653,0.13513513513513514,1,0,1,0.0030594132701744535
1767,103000,0.19421487603305787,0.02702702702702703,0,0,0,0.008279603424420258
1768,375000,0.4132231404958678,0.05405405405405406,1,0,1,0.0052931296451961445
1769,375000,0.4132231404958678,0.08108108108108109,1,0,1,0.0052931296451961445
1770,300000,0.4462809917355372,0.08108108108108109,1,0,0,0.0035764612019903975
1771,123000,0.2272727272727273,0.02702702702702703,1,0,0,0.014263756149671618
1772,369000,0.33884297520661155,0.21621621621621623,1,0,1,0.004996728480171765
1774,114000,0.3140495867768595,0.05405405405405406,0,0,0,0.028063725420689373
1775,95000,0.3512396694214876,0.08108108108108109,1,0,0,0.03126409301679026
1777,180000,0.5082644628099173,0.05405405405405406,0,0,0,0.019306984702372236
1780,124000,0.24793388429752067,0.10810810810810811,1,1,0,0.015964108003108154
1781,115000,0.243801652892562,0.05405405405405406,1,1,0,0.018923295817340917
1782,140000,0.26859504132231404,0.05405405405405406,0,0,0,0.008725852228148338
1783,158000,0.30165289256198347,0.08108108108108109,1,1,0,0.02081470412025121
1784,298000,0.3925619834710744,0.02702702702702703,1,0,1,0.0063541678149093865
1785,128800,0.23140495867768596,0.02702702702702703,0,0,0,0.014629980640930514
1786,175000,0.2768595041322314,0.05405405405405406,1,0,1,0.007958809355009625
1787,150000,0.2396694214876033,0.05405405405405406,1,0,1,0.007958809355009625
1788,524000,0.8347107438016529,0.13513513513513514,0,1,1,0.0069817373191750735
1789,323500,0.49586776859504134,0.08108108108108109,1,1,0,0.012230228420503163
1790,135000,0.26859504132231404,0.08108108108108109,1,0,1,0.015174891777193101
