index,Cena,Kvadratura,Sprat,Distance
163,429000,78,1,1.367245700987994
164,390000,120,1,2.1042506912594936
165,210000,72,4,4.28891552536018
166,240000,67,2,3.4133918322367123
167,174000,57,1,3.9932622144311636
168,520000,119,1,3.3001078013063476
169,355000,82,2,1.1112000210374295
170,147000,49,0,3.9932622144311636
171,220000,55,1,2.6206704038886683
172,199900,70,3,3.4133918322367123
173,340000,75,15,1.1112000210374295
174,905640,150,1,3.4133918322367123
175,104900,50,4,6.585050268691708
176,399000,69,7,1.1112000210374295
177,82000,40,3,5.764572563261512
178,115000,54,0,4.443990198890572
179,220000,94,11,3.9068594937586565
180,210000,81,4,2.698707855040707
181,385000,125,5,1.5488422161721425
182,400000,90,2,3.4133918322367123
183,83400,56,0,5.9291674812237805
184,200000,83,1,1.9138565937883534
185,73000,49,2,5.9291674812237805
186,149000,60,4,4.55448839110725
187,580000,208,5,2.320570769957847
188,301000,94,1,1.367245700987994
189,230000,85,0,1.5488422161721425
190,150000,33,0,1.9739752822992167
191,550000,116,5,3.39577391009416
192,315000,110,4,2.320570769957847
193,140300,61,3,5.942584401035143
194,93000,46,1,4.487668778269208
195,299999,56,16,1.1112000210374295
196,290000,80,3,1.367245700987994
197,360500,103,4,1.5488422161721425
198,189000,83,3,6.175779306746362
199,326888,77,1,1.1112000210374295
200,314888,86,3,1.1112000210374295
201,264888,71,1,1.1112000210374295
202,440888,106,6,1.1112000210374295
203,286888,57,1,1.1112000210374295
204,89000,56,0,2.836801079475314
205,379000,83,18,1.1112000210374295
206,500000,142,1,2.320570769957847
207,130000,53,1,3.3459803855452006
208,199000,76,3,3.01102797197858
209,220000,85,1,1.5488422161721425
210,315000,107,3,1.9739752822992167
211,204500,78,0,3.9932622144311636
212,310000,101,1,2.320570769957847
213,380000,109,3,1.367245700987994
214,190000,100,3,6.214373520575912
215,250000,90,1,1.3840965110666832
216,205000,47,5,3.3054993590538073
217,180000,62,2,3.9932622144311636
218,185000,66,1,5.195893345072423
219,215000,73,1,3.4133918322367123
220,204000,51,2,1.9138565937883534
221,276000,69,0,1.9138565937883534
222,230000,93,7,2.698707855040707
223,155000,54,7,2.8392736147746835
224,136000,71,3,4.949355181661503
225,260000,73,4,1.0424166291640924
226,160000,68,2,8.291903580663314
227,245000,75,2,2.8392736147746835
228,132300,63,3,5.9291674812237805
229,299000,70,1,2.7957919916378917
230,210000,75,5,2.698707855040707
231,132000,40,0,1.4619728006690051
232,98500,63,2,5.9291674812237805
233,129000,62,2,5.9291674812237805
234,225000,84,5,3.4133918322367123
235,185000,78,2,5.586004149548912
236,210000,69,2,3.9068594937586565
237,168000,78,1,5.9291674812237805
238,190000,68,2,3.5113190805709986
239,360000,103,3,1.4619728006690051
240,210000,65,0,4.0238553217329125
241,225000,78,7,5.070782730103338
242,290000,83,3,3.4133918322367123
243,527000,114,19,1.1112000210374295
244,233000,49,2,2.588160733675752
245,199000,78,0,4.487668778269208
246,370000,82,1,1.9138565937883534
247,205000,62,3,2.326402454821793
248,89000,54,0,5.9291674812237805
249,598000,188,9,4.870207694483389
250,280000,112,1,2.4358488943593373
251,178000,66,2,6.561191024752818
252,269000,56,16,1.1112000210374295
253,78000,33,0,6.81666885449004
254,145000,89,0,5.9291674812237805
255,90000,55,0,5.9291674812237805
256,39900,31,1,4.284947055838429
257,95000,54,3,5.9291674812237805
258,89000,54,0,5.9291674812237805
259,261000,87,0,2.1042506912594936
260,299000,82,5,2.534945943790705
261,393888,111,9,1.1112000210374295
262,235600,73,9,4.870207694483389
263,225900,70,4,4.870207694483389
