index,idnekretnine,Tip_nekretnine,Tip_ponude,Cena,Cena_kvadrat,Kvadratura,Sprat,Spratnost,Uknjizeno,Grejanje,Ukupan broj soba,Namestenost,Broj kupatila,Tip gradnje,Stanje objekta,Grad,Deo grada,MikroLokacija,Površina placa,Parking,Lift,Link,Distance
2951,639310,Stanovi,Prodaja,307000,4.039,76,3,7,1,Centralno,3.0,,1.0,,,Beograd,Vračar, Hram svetog Save,,0,1,https://sasomange.rs//p/141221179/vracar-hram-svetog-save-3,1.367245700987994
2952,639311,Stanovi,Prodaja,360500,3.5,103,4,5,0,Centralno,4.0,,,Novogradnja,,Beograd,Vračar, Neimar,,0,1,https://sasomange.rs//p/126054345/beograd-opstina-vracar-neimar-janka,1.5488422161721425
2953,639313,Stanovi,Prodaja,410000,3.361,122,3,4,1,Centralno,4.0,,1.0,Starogradnja,Izvorno stanje,Beograd,Vračar, Cvetni trg,,0,1,https://sasomange.rs//p/141016582/vracar-salonac-sa-dva-ulaza,1.6534884369126457
2954,639314,Stanovi,Prodaja,220000,4.0,55,1,,1,Centralno,2.0,,1.0,Starogradnja,,Beograd,Vračar, Krunska,,0,0,https://sasomange.rs//p/131706428/odlican-stan-da-dobroj-lokaciji,1.9739752822992167
2955,639315,Stanovi,Prodaja,90000,3.0,30,-1,4,1,TA peć,1.0,,2.0,Starogradnja,Izvorno stanje,Beograd,Vračar, Slavija,,0,0,https://sasomange.rs//p/141136434/slavija-30m2-psut-ta-uk,1.4619728006690051
2956,639319,Stanovi,Prodaja,205000,4.184,49,3,4,1,,2.0,,1.0,Starogradnja,,Beograd,Vračar, Kalenić pijaca,,0,0,https://sasomange.rs//p/132978939/kalenic-pijaca-49m2-iii-cg,1.9138565937883534
2957,639320,Stanovi,Prodaja,395000,2.244,176,4,5,1,,5.0,,1.0,Novogradnja,,Beograd,Vračar, Crveni krst,,0,0,https://sasomange.rs//p/126003102/vracar-crveni-krst-176m2-t,2.698707855040707
2958,639321,Stanovi,Prodaja,410000,3.868,106,2,4,0,Centralno,4.0,,2.0,Novogradnja,,Beograd,Vračar, Kalenić pijaca,,0,1,https://sasomange.rs//p/141154001/najbolji-deo-vracara-plus-velika,1.9138565937883534
2959,639322,Stanovi,Prodaja,450000,4.167,108,1,4,1,Centralno,3.0,,,Novogradnja,,Beograd,Vračar, Hram svetog Save,,0,1,https://sasomange.rs//p/134130983/vracar-hram-svetog-save-3,1.367245700987994
2960,639323,Stanovi,Prodaja,110000,3.333,33,0,4,1,,1.5,,1.0,Starogradnja,,Beograd,Vračar, Kalenić pijaca,,0,0,https://sasomange.rs//p/141164376/vracar-kalenic-33m2-110000e,1.9138565937883534
2961,639324,Stanovi,Prodaja,348000,3.663,95,3,4,1,Podno,3.0,,1.0,,,Beograd,Vračar, Kalenić pijaca,,0,0,https://sasomange.rs//p/141166891/vracar-kalenic-pijaca-3-0,1.9138565937883534
2962,639325,Stanovi,Prodaja,274000,3.703,74,2,6,0,Centralno,3.0,,1.0,,,Beograd,Vračar, Kalenić pijaca,,0,1,https://sasomange.rs//p/141181240/vracar-kalenic-milesevska-lux,1.9138565937883534
2963,639326,Stanovi,Prodaja,310000,3.78,82,2,3,1,Centralno,3.5,,2.0,Starogradnja,Renoviran,Beograd,Vračar, Hram svetog Save,,0,0,https://sasomange.rs//p/132942378/vracar-hram-svetog-save-kneginje,1.367245700987994
2964,639327,Stanovi,Prodaja,128000,2.844,45,3,4,1,,2.0,,1.0,,,Beograd,Vračar, Južni bulevar,,0,0,https://sasomange.rs//p/141154569/prodaja-stana-gospodara-vucica-45m2,2.534945943790705
2965,639328,Stanovi,Prodaja,130000,2.0,65,1,2,1,Centralno,3.0,,,,,Beograd,Vračar, SC Vračar,,0,0,https://sasomange.rs//p/122843622/prodaja-stana-sc-vracar-65m2,1.5870496099695384
2966,639329,Stanovi,Prodaja,150000,2.273,66,-1,3,0,TA peć,2.0,,,,,Beograd,Vračar, Hram svetog Save,,0,0,https://sasomange.rs//p/132962084/vracar-hram-svetog-save-makenzijeva,1.367245700987994
2967,639330,Stanovi,Prodaja,680000,4.0,170,0,5,0,Centralno,4.0,,1.0,Novogradnja,,Beograd,Vračar, Neimar,,0,1,https://sasomange.rs//p/134111440/vracar-4-0-170-m2,1.5488422161721425
2968,639331,Stanovi,Prodaja,408000,4.0,102,2,5,0,Centralno,4.0,,1.0,Novogradnja,,Beograd,Vračar, Neimar,,0,1,https://sasomange.rs//p/134111442/vracar-neimar-4-0-102m2,1.5488422161721425
2969,639332,Stanovi,Prodaja,248000,3.024,82,3,4,1,Etažno,3.0,,1.0,Starogradnja,,Beograd,Vračar, Hram svetog Save,,0,0,https://sasomange.rs//p/134111598/hram-82m2-retko-u-ponudi,1.367245700987994
2970,639333,Stanovi,Prodaja,568000,4.0,142,1,5,0,Centralno,4.0,,1.0,Novogradnja,,Beograd,Vračar, Neimar,,0,1,https://sasomange.rs//p/134111438/vracar-neimar-4-0-142m2,1.5488422161721425
2971,639334,Stanovi,Prodaja,415000,3.32,125,3,4,1,Centralno,5.0,,1.0,Starogradnja,,Beograd,Vračar, Krunska,,0,0,https://sasomange.rs//p/134111815/krunski-venac-125m2-terasa-lux,1.9739752822992167
2972,639335,Stanovi,Prodaja,136000,3.022,45,4,5,1,Centralno,1.0,,1.0,Starogradnja,,Beograd,Vračar, Kalenić pijaca,,0,0,https://sasomange.rs//p/136578965/kalenic-1-0-45m2-id,1.9138565937883534
2973,639336,Stanovi,Prodaja,68000,3.306,21,-1,4,0,Centralno,1.0,,,,,Beograd,Vračar, Pravni fakultet,,0,0,https://sasomange.rs//p/141127130/vracar-pravni-fakultet-svetozara-markovica,2.1679161804959586
